month,salary,region_name
2022-01-01,43840.0,Белгородская область
2022-02-01,42169.0,Белгородская область
2022-03-01,47559.0,Белгородская область
2022-04-01,46407.0,Белгородская область
2022-05-01,46133.0,Белгородская область
2022-06-01,47677.0,Белгородская область
2022-07-01,48266.0,Белгородская область
2022-08-01,47313.0,Белгородская область
2022-09-01,45587.0,Белгородская область
2022-10-01,47737.0,Белгородская область
2022-11-01,47482.0,Белгородская область
2022-12-01,60042.0,Белгородская область
2023-01-01,48681.0,Белгородская область
2023-02-01,47326.0,Белгородская область
2023-03-01,51415.0,Белгородская область
2023-04-01,50894.0,Белгородская область
2023-05-01,52707.0,Белгородская область
2023-06-01,54581.0,Белгородская область
2023-07-01,55034.0,Белгородская область
2023-08-01,54391.0,Белгородская область
2023-09-01,52906.0,Белгородская область
2023-10-01,56285.0,Белгородская область
2023-11-01,56081.0,Белгородская область
2023-12-01,70914.4,Белгородская область
2024-01-01,57497.4,Белгородская область
2024-02-01,55899.0,Белгородская область
2024-03-01,60728.7,Белгородская область
2024-04-01,60115.3,Белгородская область
2024-05-01,62255.4,Белгородская область
2024-06-01,64471.7,Белгородская область
2024-07-01,65006.8,Белгородская область
2024-08-01,64246.2,Белгородская область
2024-09-01,62492.3,Белгородская область
2024-10-01,66485.6,Белгородская область
2024-11-01,66246.3,Белгородская область
2022-01-01,36025.0,Брянская область
2022-02-01,34942.0,Брянская область
2022-03-01,38681.0,Брянская область
2022-04-01,40238.0,Брянская область
2022-05-01,40354.0,Брянская область
2022-06-01,42622.0,Брянская область
2022-07-01,39574.0,Брянская область
2022-08-01,39434.0,Брянская область
2022-09-01,39363.0,Брянская область
2022-10-01,41936.0,Брянская область
2022-11-01,42405.0,Брянская область
2022-12-01,52951.0,Брянская область
2023-01-01,42457.0,Брянская область
2023-02-01,41656.0,Брянская область
2023-03-01,44948.0,Брянская область
2023-04-01,44696.0,Брянская область
2023-05-01,49269.0,Брянская область
2023-06-01,50697.0,Брянская область
2023-07-01,46836.0,Брянская область
2023-08-01,46094.0,Брянская область
2023-09-01,46705.0,Брянская область
2023-10-01,48867.0,Брянская область
2023-11-01,48982.0,Брянская область
2023-12-01,61163.8,Брянская область
2024-01-01,49041.1,Брянская область
2024-02-01,48114.2,Брянская область
2024-03-01,51915.2,Брянская область
2024-04-01,51624.5,Брянская область
2024-05-01,56905.7,Брянская область
2024-06-01,58556.0,Брянская область
2024-07-01,54094.0,Брянская область
2024-08-01,53239.3,Брянская область
2024-09-01,53947.4,Брянская область
2024-10-01,56445.2,Брянская область
2024-11-01,56580.7,Брянская область
2022-01-01,37394.0,Владимирская область
2022-02-01,39290.0,Владимирская область
2022-03-01,43716.0,Владимирская область
2022-04-01,43592.0,Владимирская область
2022-05-01,44188.0,Владимирская область
2022-06-01,48068.0,Владимирская область
2022-07-01,44136.0,Владимирская область
2022-08-01,44196.0,Владимирская область
2022-09-01,44551.0,Владимирская область
2022-10-01,45371.0,Владимирская область
2022-11-01,46270.0,Владимирская область
2022-12-01,57641.0,Владимирская область
2023-01-01,45524.0,Владимирская область
2023-02-01,46232.0,Владимирская область
2023-03-01,49002.0,Владимирская область
2023-04-01,49185.0,Владимирская область
2023-05-01,51038.0,Владимирская область
2023-06-01,54102.0,Владимирская область
2023-07-01,51087.0,Владимирская область
2023-08-01,51143.0,Владимирская область
2023-09-01,51388.0,Владимирская область
2023-10-01,52973.0,Владимирская область
2023-11-01,53673.0,Владимирская область
2023-12-01,66865.8,Владимирская область
2024-01-01,52810.6,Владимирская область
2024-02-01,53634.4,Владимирская область
2024-03-01,56847.1,Владимирская область
2024-04-01,57057.4,Владимирская область
2024-05-01,59208.5,Владимирская область
2024-06-01,62761.0,Владимирская область
2024-07-01,59265.2,Владимирская область
2024-08-01,59330.4,Владимирская область
2024-09-01,59615.2,Владимирская область
2024-10-01,61451.3,Владимирская область
2024-11-01,62262.5,Владимирская область
2022-01-01,40535.0,Воронежская область
2022-02-01,40422.0,Воронежская область
2022-03-01,45467.0,Воронежская область
2022-04-01,45424.0,Воронежская область
2022-05-01,45142.0,Воронежская область
2022-06-01,48635.0,Воронежская область
2022-07-01,45056.0,Воронежская область
2022-08-01,44130.0,Воронежская область
2022-09-01,45831.0,Воронежская область
2022-10-01,46644.0,Воронежская область
2022-11-01,46979.0,Воронежская область
2022-12-01,58053.0,Воронежская область
2023-01-01,47314.0,Воронежская область
2023-02-01,47265.0,Воронежская область
2023-03-01,50105.0,Воронежская область
2023-04-01,51750.0,Воронежская область
2023-05-01,52756.0,Воронежская область
2023-06-01,56521.0,Воронежская область
2023-07-01,51909.0,Воронежская область
2023-08-01,51260.0,Воронежская область
2023-09-01,52003.0,Воронежская область
2023-10-01,53991.0,Воронежская область
2023-11-01,54121.0,Воронежская область
2023-12-01,66877.3,Воронежская область
2024-01-01,54505.0,Воронежская область
2024-02-01,54450.5,Воронежская область
2024-03-01,57723.0,Воронежская область
2024-04-01,59616.3,Воронежская область
2024-05-01,60772.9,Воронежская область
2024-06-01,65112.1,Воронежская область
2024-07-01,59799.0,Воронежская область
2024-08-01,59051.5,Воронежская область
2024-09-01,59907.7,Воронежская область
2024-10-01,62196.2,Воронежская область
2024-11-01,62345.5,Воронежская область
2022-01-01,30883.0,Ивановская область
2022-02-01,31363.0,Ивановская область
2022-03-01,35286.0,Ивановская область
2022-04-01,34964.0,Ивановская область
2022-05-01,35232.0,Ивановская область
2022-06-01,39364.0,Ивановская область
2022-07-01,35002.0,Ивановская область
2022-08-01,34269.0,Ивановская область
2022-09-01,35060.0,Ивановская область
2022-10-01,36083.0,Ивановская область
2022-11-01,36544.0,Ивановская область
2022-12-01,49621.0,Ивановская область
2023-01-01,36253.0,Ивановская область
2023-02-01,36243.0,Ивановская область
2023-03-01,39369.0,Ивановская область
2023-04-01,39741.0,Ивановская область
2023-05-01,40736.0,Ивановская область
2023-06-01,45055.0,Ивановская область
2023-07-01,39039.0,Ивановская область
2023-08-01,39546.0,Ивановская область
2023-09-01,39781.0,Ивановская область
2023-10-01,43143.0,Ивановская область
2023-11-01,43162.0,Ивановская область
2023-12-01,58605.4,Ивановская область
2024-01-01,42817.1,Ивановская область
2024-02-01,42804.3,Ивановская область
2024-03-01,46498.3,Ивановская область
2024-04-01,46935.4,Ивановская область
2024-05-01,48108.8,Ивановская область
2024-06-01,53208.3,Ивановская область
2024-07-01,46105.0,Ивановская область
2024-08-01,46704.4,Ивановская область
2024-09-01,46980.0,Ивановская область
2024-10-01,50949.8,Ивановская область
2024-11-01,50970.2,Ивановская область
2022-01-01,48432.0,Калужская область
2022-02-01,46983.0,Калужская область
2022-03-01,53150.0,Калужская область
2022-04-01,52000.0,Калужская область
2022-05-01,51426.0,Калужская область
2022-06-01,54751.0,Калужская область
2022-07-01,52659.0,Калужская область
2022-08-01,49193.0,Калужская область
2022-09-01,50672.0,Калужская область
2022-10-01,53126.0,Калужская область
2022-11-01,53439.0,Калужская область
2022-12-01,65922.0,Калужская область
2023-01-01,52950.0,Калужская область
2023-02-01,52794.0,Калужская область
2023-03-01,57286.0,Калужская область
2023-04-01,57246.0,Калужская область
2023-05-01,58853.0,Калужская область
2023-06-01,62552.0,Калужская область
2023-07-01,59430.0,Калужская область
2023-08-01,57406.0,Калужская область
2023-09-01,58314.0,Калужская область
2023-10-01,61701.0,Калужская область
2023-11-01,61268.0,Калужская область
2023-12-01,75580.2,Калужская область
2024-01-01,60706.0,Калужская область
2024-02-01,60530.0,Калужская область
2024-03-01,65681.1,Калужская область
2024-04-01,65635.1,Калужская область
2024-05-01,67479.4,Калужская область
2024-06-01,71723.9,Калужская область
2024-07-01,68144.9,Калужская область
2024-08-01,65821.2,Калужская область
2024-09-01,66861.2,Калужская область
2024-10-01,70745.8,Калужская область
2024-11-01,70250.6,Калужская область
2022-01-01,33952.0,Костромская область
2022-02-01,34660.0,Костромская область
2022-03-01,39511.0,Костромская область
2022-04-01,39353.0,Костромская область
2022-05-01,38883.0,Костромская область
2022-06-01,41777.0,Костромская область
2022-07-01,38909.0,Костромская область
2022-08-01,37616.0,Костромская область
2022-09-01,37702.0,Костромская область
2022-10-01,39511.0,Костромская область
2022-11-01,40285.0,Костромская область
2022-12-01,51551.0,Костромская область
2023-01-01,39412.0,Костромская область
2023-02-01,40178.0,Костромская область
2023-03-01,43458.0,Костромская область
2023-04-01,44334.0,Костромская область
2023-05-01,44249.0,Костромская область
2023-06-01,48506.0,Костромская область
2023-07-01,44241.0,Костромская область
2023-08-01,43504.0,Костромская область
2023-09-01,43986.0,Костромская область
2023-10-01,46733.0,Костромская область
2023-11-01,46116.0,Костромская область
2023-12-01,59014.6,Костромская область
2024-01-01,45116.7,Костромская область
2024-02-01,45992.0,Костромская область
2024-03-01,49744.9,Костромская область
2024-04-01,50749.7,Костромская область
2024-05-01,50653.3,Костромская область
2024-06-01,55526.1,Костромская область
2024-07-01,50645.4,Костромская область
2024-08-01,49799.6,Костромская область
2024-09-01,50352.4,Костромская область
2024-10-01,53499.4,Костромская область
2024-11-01,52793.2,Костромская область
2022-01-01,39909.0,Курская область
2022-02-01,38698.0,Курская область
2022-03-01,43668.0,Курская область
2022-04-01,44574.0,Курская область
2022-05-01,45417.0,Курская область
2022-06-01,48600.0,Курская область
2022-07-01,43544.0,Курская область
2022-08-01,44339.0,Курская область
2022-09-01,44925.0,Курская область
2022-10-01,46576.0,Курская область
2022-11-01,46794.0,Курская область
2022-12-01,64068.0,Курская область
2023-01-01,46510.0,Курская область
2023-02-01,45936.0,Курская область
2023-03-01,48877.0,Курская область
2023-04-01,50940.0,Курская область
2023-05-01,52640.0,Курская область
2023-06-01,55228.0,Курская область
2023-07-01,50335.0,Курская область
2023-08-01,50489.0,Курская область
2023-09-01,52265.0,Курская область
2023-10-01,53746.0,Курская область
2023-11-01,54032.0,Курская область
2023-12-01,73975.2,Курская область
2024-01-01,53698.6,Курская область
2024-02-01,53038.1,Курская область
2024-03-01,56432.5,Курская область
2024-04-01,58814.0,Курская область
2024-05-01,60778.4,Курская область
2024-06-01,63768.7,Курская область
2024-07-01,58118.8,Курская область
2024-08-01,58299.0,Курская область
2024-09-01,60351.1,Курская область
2024-10-01,62059.0,Курская область
2024-11-01,62387.9,Курская область
2022-01-01,40334.0,Липецкая область
2022-02-01,41205.0,Липецкая область
2022-03-01,55126.0,Липецкая область
2022-04-01,43467.0,Липецкая область
2022-05-01,44152.0,Липецкая область
2022-06-01,47247.0,Липецкая область
2022-07-01,44357.0,Липецкая область
2022-08-01,44314.0,Липецкая область
2022-09-01,43368.0,Липецкая область
2022-10-01,45007.0,Липецкая область
2022-11-01,44815.0,Липецкая область
2022-12-01,60726.0,Липецкая область
2023-01-01,45934.0,Липецкая область
2023-02-01,45232.0,Липецкая область
2023-03-01,53349.0,Липецкая область
2023-04-01,49426.0,Липецкая область
2023-05-01,51706.0,Липецкая область
2023-06-01,53723.0,Липецкая область
2023-07-01,51359.0,Липецкая область
2023-08-01,51058.0,Липецкая область
2023-09-01,50942.0,Липецкая область
2023-10-01,53423.0,Липецкая область
2023-11-01,53067.0,Липецкая область
2023-12-01,71905.8,Липецкая область
2024-01-01,54389.5,Липецкая область
2024-02-01,53557.3,Липецкая область
2024-03-01,63170.8,Липецкая область
2024-04-01,58527.7,Липецкая область
2024-05-01,61225.8,Липецкая область
2024-06-01,63613.6,Липецкая область
2024-07-01,60814.6,Липецкая область
2024-08-01,60455.8,Липецкая область
2024-09-01,60316.8,Липецкая область
2024-10-01,63254.2,Липецкая область
2024-11-01,62830.4,Липецкая область
2022-01-01,64418.0,Московская область
2022-02-01,63134.0,Московская область
2022-03-01,72090.0,Московская область
2022-04-01,68359.0,Московская область
2022-05-01,67119.0,Московская область
2022-06-01,72750.0,Московская область
2022-07-01,67526.0,Московская область
2022-08-01,65718.0,Московская область
2022-09-01,68411.0,Московская область
2022-10-01,69878.0,Московская область
2022-11-01,70274.0,Московская область
2022-12-01,92465.0,Московская область
2023-01-01,72775.0,Московская область
2023-02-01,72337.0,Московская область
2023-03-01,78263.0,Московская область
2023-04-01,78723.0,Московская область
2023-05-01,79272.0,Московская область
2023-06-01,84954.0,Московская область
2023-07-01,79931.0,Московская область
2023-08-01,78617.0,Московская область
2023-09-01,82496.0,Московская область
2023-10-01,85939.0,Московская область
2023-11-01,86103.0,Московская область
2023-12-01,113294.3,Московская область
2024-01-01,89173.9,Московская область
2024-02-01,88638.9,Московская область
2024-03-01,95898.4,Московская область
2024-04-01,96464.2,Московская область
2024-05-01,97139.4,Московская область
2024-06-01,104104.3,Московская область
2024-07-01,97951.7,Московская область
2024-08-01,96345.3,Московская область
2024-09-01,101095.1,Московская область
2024-10-01,105310.8,Московская область
2024-11-01,105510.9,Московская область
2022-01-01,34635.0,Орловская область
2022-02-01,34747.0,Орловская область
2022-03-01,38358.0,Орловская область
2022-04-01,38206.0,Орловская область
2022-05-01,39518.0,Орловская область
2022-06-01,43838.0,Орловская область
2022-07-01,38743.0,Орловская область
2022-08-01,39328.0,Орловская область
2022-09-01,39768.0,Орловская область
2022-10-01,40331.0,Орловская область
2022-11-01,40876.0,Орловская область
2022-12-01,57164.0,Орловская область
2023-01-01,40929.0,Орловская область
2023-02-01,41751.0,Орловская область
2023-03-01,44312.0,Орловская область
2023-04-01,44447.0,Орловская область
2023-05-01,46895.0,Орловская область
2023-06-01,51459.0,Орловская область
2023-07-01,45195.0,Орловская область
2023-08-01,45842.0,Орловская область
2023-09-01,46620.0,Орловская область
2023-10-01,47064.0,Орловская область
2023-11-01,47051.0,Орловская область
2023-12-01,65800.8,Орловская область
2024-01-01,47113.4,Орловская область
2024-02-01,48060.4,Орловская область
2024-03-01,51006.5,Орловская область
2024-04-01,51159.5,Орловская область
2024-05-01,53978.4,Орловская область
2024-06-01,59230.5,Орловская область
2024-07-01,52022.1,Орловская область
2024-08-01,52766.0,Орловская область
2024-09-01,53663.0,Орловская область
2024-10-01,54172.8,Орловская область
2024-11-01,54156.5,Орловская область
2022-01-01,39899.0,Рязанская область
2022-02-01,39707.0,Рязанская область
2022-03-01,43263.0,Рязанская область
2022-04-01,45534.0,Рязанская область
2022-05-01,44065.0,Рязанская область
2022-06-01,47384.0,Рязанская область
2022-07-01,45099.0,Рязанская область
2022-08-01,43508.0,Рязанская область
2022-09-01,44092.0,Рязанская область
2022-10-01,44571.0,Рязанская область
2022-11-01,45242.0,Рязанская область
2022-12-01,59975.0,Рязанская область
2023-01-01,45384.0,Рязанская область
2023-02-01,46347.0,Рязанская область
2023-03-01,49166.0,Рязанская область
2023-04-01,50623.0,Рязанская область
2023-05-01,52626.0,Рязанская область
2023-06-01,55755.0,Рязанская область
2023-07-01,52513.0,Рязанская область
2023-08-01,51975.0,Рязанская область
2023-09-01,51683.0,Рязанская область
2023-10-01,53603.0,Рязанская область
2023-11-01,54479.0,Рязанская область
2023-12-01,72217.4,Рязанская область
2024-01-01,54646.9,Рязанская область
2024-02-01,55805.4,Рязанская область
2024-03-01,59198.4,Рязанская область
2024-04-01,60950.7,Рязанская область
2024-05-01,63364.3,Рязанская область
2024-06-01,67134.5,Рязанская область
2024-07-01,63234.0,Рязанская область
2024-08-01,62589.0,Рязанская область
2024-09-01,62238.5,Рязанская область
2024-10-01,64547.5,Рязанская область
2024-11-01,65599.6,Рязанская область
2022-01-01,37214.0,Смоленская область
2022-02-01,35407.0,Смоленская область
2022-03-01,39655.0,Смоленская область
2022-04-01,39500.0,Смоленская область
2022-05-01,39925.0,Смоленская область
2022-06-01,43558.0,Смоленская область
